LogP,SMILES,TPSA,formula,hbond_acceptors,hbond_donors,num_atoms,num_bonds,rotatable_bonds,weight
0.03680000000000022,OC(=O)Cc1cnc[nH]1,65.97999999999999,C5H6N2O2,2.0,2.0,9.0,9.0,2.0,126.115
-2.1275999999999993,CCNC(=O)C([O-])=O,69.22999999999999,C4H6NO3-,3.0,1.0,8.0,7.0,1.0,116.09599999999998
0.043399999999999994,OB1OCc2cc(F)ccc12,29.46,C7H6BFO2,2.0,1.0,11.0,12.0,0.0,151.933
1.0903999999999998,OC(=O)c1cccc(O)c1,57.53,C7H6O3,2.0,2.0,10.0,10.0,1.0,138.12199999999999
1.0903999999999998,OC(=O)c1cccc(O)c1,57.53,C7H6O3,2.0,2.0,10.0,10.0,1.0,138.12199999999999
1.0903999999999998,OC(=O)c1cccc(O)c1,57.53,C7H6O3,2.0,2.0,10.0,10.0,1.0,138.12199999999999
-0.177,OC(=O)[C@H]1CCCN1,49.33,C5H9NO2,2.0,2.0,8.0,8.0,1.0,115.13200000000002
0.3620000000000001,Nc1cncc(c1)C(O)=O,76.21000000000001,C6H6N2O2,3.0,2.0,10.0,10.0,1.0,138.12599999999998
0.3843,NCC(O)c1ccc(O)cc1,66.48,C8H11NO2,3.0,3.0,11.0,11.0,2.0,153.18099999999998
1.3642999999999998,OP(O)(=O)Cc1ccccc1,57.53,C7H9O3P,1.0,2.0,11.0,11.0,2.0,172.12
0.3340000000000002,NS(=O)(=O)c1ccccc1,60.160000000000004,C6H7NO2S,2.0,1.0,10.0,10.0,1.0,157.194
3.178700000000002,CCCCCCCP(O)(=O)OCC,46.53,C9H21O3P,2.0,1.0,13.0,12.0,8.0,208.23799999999997
-1.3989000000000005,ONC(=O)COP(O)(O)=O,116.09,C2H6NO6P,4.0,4.0,10.0,9.0,3.0,171.04500000000002
-1.3989000000000005,ONC(=O)COP(O)(O)=O,116.09,C2H6NO6P,4.0,4.0,10.0,9.0,3.0,171.04500000000002
-0.39450000000000035,NC[C@@H]1CC(O)=NO1,67.84,C4H8N2O2,3.0,2.0,8.0,8.0,1.0,116.11999999999999
0.7637999999999999,CP(O)(=O)C1=CCNCC1,49.33,C6H12NO2P,2.0,2.0,10.0,10.0,1.0,161.14099999999996
0.7637999999999999,CP(O)(=O)C1=CCNCC1,49.33,C6H12NO2P,2.0,2.0,10.0,10.0,1.0,161.14099999999996
2.12542,Cc1cc(N)nc2ccccc12,38.91,C10H10N2,2.0,1.0,12.0,13.0,0.0,158.204
1.0192999999999999,OC(=O)Cc1ccc(O)cc1,57.53,C8H8O3,2.0,2.0,11.0,11.0,2.0,152.149
-0.5231000000000001,NCCCC(N)(CF)C(O)=O,89.34,C6H13FN2O2,3.0,3.0,11.0,10.0,5.0,164.18
1.6279999999999997,C=C=CCNCCCCNCC=C=C,24.06,C12H20N2,2.0,2.0,14.0,13.0,9.0,192.30599999999998
2.6391,Clc1ccc2CCNCc2c1Cl,12.03,C9H9Cl2N,1.0,1.0,12.0,13.0,0.0,202.08399999999997
-0.5396000000000003,NNc1nccc(n1)C(O)=O,101.13,C5H6N4O2,5.0,3.0,11.0,11.0,2.0,154.129
-1.3989000000000005,ONC(=O)COP(O)(O)=O,116.09,C2H6NO6P,4.0,4.0,10.0,9.0,3.0,171.04500000000002
-1.112699999999999,NCCO\C=C\C(N)C(O)=O,98.57,C6H12N2O3,4.0,3.0,11.0,10.0,5.0,160.17299999999997
-0.5982000000000002,ON(CCCP(O)(O)=O)C=O,98.07,C4H10NO5P,3.0,3.0,11.0,10.0,5.0,183.10000000000002
-0.5982000000000002,ON(CCCP(O)(O)=O)C=O,98.07,C4H10NO5P,3.0,3.0,11.0,10.0,5.0,183.10000000000002
-0.3158,[NH3+]CCCCCCC(=O)NO,76.97,C7H17N2O2+,2.0,3.0,11.0,10.0,6.0,161.22500000000002
2.0471999999999992,Oc1ccc(cc1)-c1cnco1,46.260000000000005,C9H7NO2,3.0,1.0,12.0,13.0,1.0,161.15999999999997
2.0471999999999992,Oc1ccc(cc1)-c1cnco1,46.260000000000005,C9H7NO2,3.0,1.0,12.0,13.0,1.0,161.15999999999997
2.0471999999999992,Oc1ccc(cc1)-c1cnco1,46.260000000000005,C9H7NO2,3.0,1.0,12.0,13.0,1.0,161.15999999999997
2.1435999999999993,c1ccc(nc1)-c1ccccn1,25.78,C10H8N2,2.0,0.0,12.0,13.0,1.0,156.188
-1.7282000000000002,OC(=O)CNC(=O)C(O)=O,103.70000000000002,C4H5NO5,3.0,3.0,10.0,9.0,2.0,147.08599999999998
0.5788700000000001,NC(=N)SCCc1cnc[nH]1,78.55000000000001,C6H10N4S,3.0,3.0,11.0,11.0,3.0,170.241
4.222600000000002,C=CCSSc1nc2ccccc2s1,12.89,C10H9NS3,4.0,0.0,14.0,15.0,4.0,239.39000000000001
-0.5375000000000003,OC(=O)C1CSC(O)(O)C1,77.76,C5H8O4S,4.0,3.0,10.0,10.0,1.0,164.18200000000002
1.65749,CC(=O)c1cccc(=S)n1O,42.230000000000004,C7H7NO2S,4.0,1.0,11.0,11.0,1.0,169.20499999999998
0.4222999999999999,Oc1cnc2NC(=O)NCc2c1,74.25,C7H7N3O2,3.0,3.0,12.0,13.0,0.0,165.152
1.6894999999999998,C1CC2NC1CC2c1cccnc1,24.92,C11H14N2,2.0,1.0,13.0,15.0,1.0,174.247
1.6894999999999998,C1CC2NC1CC2c1cccnc1,24.92,C11H14N2,2.0,1.0,13.0,15.0,1.0,174.247
2.3528000000000002,FC(F)OC(Cl)C(F)(F)F,9.23,C3H2ClF5O,1.0,0.0,10.0,9.0,2.0,184.49099999999996
1.2309199999999998,Cc1ncc(CO)c(C=C)c1O,53.35000000000001,C9H11NO2,3.0,2.0,12.0,12.0,2.0,165.19199999999998
0.6731999999999998,OB(O)c1ccc(Cl)cc1Cl,40.46,C6H5BCl2O2,2.0,2.0,11.0,11.0,1.0,190.822
1.7609,Oc1ccc(cc1)C(=O)C=C,37.3,C9H8O2,2.0,1.0,11.0,11.0,2.0,148.16099999999997
-1.2386000000000004,OP(O)(=O)NP(O)(O)=O,127.09,H5NO6P2,2.0,5.0,9.0,8.0,2.0,176.989
2.5566000000000004,Cl.NCOc1ccc2ccccc2c1,35.25,C11H12ClNO,2.0,1.0,14.0,14.0,2.0,209.67600000000002
-0.4726999999999995,NCCCC[C@@H](N)C(O)=O,89.34,C6H14N2O2,3.0,3.0,10.0,9.0,5.0,146.19
-1.1362999999999994,CCC[C@H](N)C([O-])=O,66.15,C5H10NO2-,3.0,1.0,8.0,7.0,3.0,116.13999999999999
0.25570000000000004,CC(=O)OCC[N+](C)(C)C,26.3,C7H16NO2+,2.0,0.0,10.0,9.0,3.0,146.21
3.995300000000002,CCCCCCCCCCCC#CC(O)=O,37.3,C14H24O2,1.0,1.0,16.0,15.0,9.0,224.34399999999997
0.18340000000000012,CP(O)(=O)C[C@H](F)CN,63.31999999999999,C4H11FNO2P,2.0,2.0,9.0,8.0,3.0,155.10899999999998
-0.4827000000000006,Nc1nc(N)c2[nH]cnc2n1,106.5,C5H6N6,5.0,3.0,11.0,12.0,0.0,150.145
0.7959999999999998,OC(=O)c1cc(O)cc(O)c1,77.76,C7H6O4,3.0,3.0,11.0,11.0,1.0,154.12099999999998
2.7204000000000006,CCCCN(CCCC)C([S-])=S,3.24,C9H18NS2-,2.0,0.0,12.0,11.0,6.0,204.384
-0.4726999999999995,NCCCC[C@@H](N)C(O)=O,89.34,C6H14N2O2,3.0,3.0,10.0,9.0,5.0,146.19
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
-0.2121000000000003,C[N+](C)(C)CCOC(N)=O,52.32,C6H15N2O2+,2.0,1.0,10.0,9.0,3.0,147.19799999999998
