LogP,TPSA,hbond_acceptors,hbond_donors,num_atoms,num_bonds,rotatable_bonds,weight,Label
0.775054857962357,0.005799560163367892,0.012658227848101266,0.0,0.021929824561403508,0.0211864406779661,0.0,0.0256953578374064,
0.8700190484234279,0.004488691391868252,0.009797101293468358,0.0,0.0915344518022807,0.09690616530050848,0.022174637527300006,0.24519516047760356,1.0
0.7728211421255147,0.0036712105838114543,0.005902524214428086,0.0,0.017543859649122806,0.01892499751245686,0.0125,0.023114755476517257,1.0
0.7822416553895589,0.010725730442978322,0.012658227848101266,0.0,0.03508771929824561,0.03389830508474576,0.05,0.036444665067481216,1.0
0.7526995508925539,0.0650832547910776,0.08860759493670886,0.037037037037037035,0.05701754385964912,0.05508474576271186,0.037500000000000006,0.058519929012151584,1.0
0.7919559626696284,0.0,0.0,0.0,0.039473684210526314,0.046610169491525424,0.0,0.04004089348750042,1.0
0.7508612834876186,0.056676091737354696,0.0759493670886076,0.037037037037037035,0.043859649122807015,0.046610169491525424,0.025,0.04716801859597648,1.0
0.7260390664172225,0.05043041156142004,0.05063291139240506,0.0,0.03508771929824561,0.029661016949152543,0.037500000000000006,0.041275633382188065,
0.7686256927202887,0.021925291571906393,0.0379746835443038,0.0046856729800046895,0.025206024820525204,0.024351583301185368,0.037500000000000006,0.02880914558204216,1.0
0.7676769266901681,0.06681634222657588,0.0865448243701638,0.04952004167566444,0.11332035581246903,0.12504713294800346,0.05203698593446325,0.11314775939702046,1.0
0.7698100593598197,0.012711278667923343,0.012658227848101266,0.018518518518518517,0.021929824561403508,0.0211864406779661,0.0125,0.025093947924941972,1.0
0.8282274543209744,0.012711278667923343,0.012658227848101266,0.018518518518518517,0.08771929824561403,0.0847457627118644,0.1625,0.08786163276228255,1.0
0.7600898893660201,0.021122088357713023,0.02983033134159754,0.0,0.020365806245674536,0.01967543993226184,0.02054254780017243,0.023416577376701886,1.0
0.7581559098334583,0.0521646245680176,0.0759493670886076,0.037037037037037035,0.06140350877192982,0.07203389830508475,0.0,0.059710517782313066,1.0
0.7719200148518939,0.03351434696570062,0.03676404778473237,0.05378444027766402,0.03863473486836717,0.04539440391941344,0.0,0.038463462687797795,1.0
0.7785991945179778,0.017398680490103676,0.0379746835443038,0.0,0.04824561403508772,0.046610169491525424,0.08750000000000001,0.056173058088859085,1.0
0.7499475797023889,0.03395440127470982,0.03665411110909847,0.037037037037037035,0.022844958091063343,0.02630784086763747,0.011195934720234734,0.02609242774573884,1.0
0.7868678596701109,0.020767353271464038,0.038549875124900074,0.0,0.04425824679707987,0.04285423871681256,0.08806800168583882,0.04713530012658358,1.0
0.791837350859127,0.02343700911090166,0.02531645569620253,0.018518518518518517,0.04824561403508772,0.046610169491525424,0.08750000000000001,0.05018789584988395,
0.7518947991032788,0.03158086114207162,0.04283993719650804,0.037037037037037035,0.047231184548457324,0.05247608067171244,0.0125,0.04913949887481043,1.0
0.7654886071543553,0.024254724212838266,0.0379746835443038,0.012496088957847939,0.0233561894573518,0.02256445422150937,0.037500000000000006,0.0270442753592773,1.0
0.7956914395226352,0.05414103150736313,0.06329113924050633,0.05072346251739578,0.09649122807017543,0.1016949152542373,0.0,0.09541981574766045,1.0
