LogP,TPSA,hbond_donors,num_atoms,rotatable_bonds,Label
0.5768330785704068,0.027079209474848112,0.0,0.06141563027790563,0.0,
0.967717409338148,0.02095852289559867,0.0,0.3259024872994927,0.07739710021840003,1.0
0.5661950861694992,0.017141555156758456,0.0,0.04606172270842922,0.05,1.0
0.6110599462661287,0.05008040148815355,0.0,0.10747735298633483,0.2,1.0
0.4703667220150809,0.3038856465227267,0.16666666666666666,0.18424689083371684,0.15000000000000002,1.0
0.6573239899376605,0.0,0.0,0.12283126055581124,0.0,1.0
0.4616120387371114,0.2646310611734886,0.16666666666666666,0.13818516812528764,0.1,1.0
0.3433971108518122,0.2354688355851906,0.0,0.10747735298633483,0.15000000000000002,
0.5412845986021916,0.09693931212104936,0.0,0.07288459479624963,0.13734868295398736,1.0
0.5470088503984886,0.3166436413925135,0.013579906229754996,0.32993822546094187,0.25,1.0
0.5518549113578048,0.05935129010576135,0.08333333333333333,0.06141563027790563,0.05,1.0
0.830065681692904,0.05935129010576135,0.08333333333333333,0.2917242438200517,0.65,1.0
0.5055629467201939,0.09862290226723164,0.0,0.055940485552184685,0.08217019120068972,1.0
0.4963524378311187,0.24356619399803797,0.16666666666666666,0.19960079840319325,0.0,1.0
0.5619034995088693,0.1564846292360771,0.2420299812494881,0.11989435820647476,0.0,1.0
0.5937128556320478,0.08123762842454434,0.0,0.15353907569476405,0.35000000000000003,1.0
0.5754097425471472,0.1187025802115227,0.16666666666666666,0.10587555316472849,0.08956747776187787,1.0
0.63309207997349,0.09696657912581666,0.0,0.1395805353866758,0.3522720067433553,1.0
0.6567591053995465,0.1094316915939149,0.08333333333333333,0.15353907569476405,0.35000000000000003,
0.46653412017839097,0.14745682951336603,0.16666666666666666,0.14998787159601187,0.05,1.0
0.5312741485927408,0.11324975329382651,0.05623240031031572,0.06640889292608942,0.15000000000000002,1.0
0.6781731107087493,0.2527944002775641,0.22825558132828105,0.3224320589590045,0.0,1.0
0.5975489351772398,0.1405889185303057,0.08333333333333333,0.19960079840319325,0.1,
0.5901527089080009,0.24431667921481465,0.12869540730286008,0.449535936769973,0.3772172443817161,1.0
0.6409115264484591,0.11571007818938348,0.0,0.21495470597266966,0.2,1.0
0.595535892095961,0.054158418949696224,0.0,0.10747735298633483,0.25,
0.5196359514293788,0.18576983141358425,0.25,0.12283126055581124,0.25,1.0
0.6583407821062656,0.12195912652973306,0.08333333333333333,0.19960079840319325,0.1,1.0
0.6763862754420146,0.273021802137526,0.16666666666666666,0.3838476892369101,0.4,1.0
0.6254131488482056,0.1187025802115227,0.16666666666666666,0.21495470597266966,0.2,1.0
0.5704398838932748,0.34328196067259387,0.05174404728986926,0.4177688572821167,0.2810464283739216,1.0
0.601200143419049,0.07715961096300167,0.0,0.12283126055581124,0.25,1.0
0.6195691615357178,0.10423882043784978,0.0,0.18424689083371684,0.2,1.0
0.6092997224749411,0.2340565445178549,0.019808114624920006,0.3260816424919239,0.05,1.0
0.5659739436222636,0.17180482197693453,0.0,0.23030861354214605,0.1,1.0
0.4995009804794452,0.030389027957459958,0.0,0.0,0.0,1.0
0.5194866240477225,0.09697822458177723,0.0,0.054108676573081674,0.0631024526301204,1.0
0.6700287567312413,0.05008040148815355,0.0,0.15353907569476405,0.2,1.0
0.85717500420839,0.0,0.0,0.3377859665284809,0.0,
0.44768842075615817,0.2412714603836187,0.31612249852082525,0.11381943859204945,0.22934699822499033,
0.35205011491292115,0.11773441779259532,0.0,0.12283126055581124,0.05,
0.6341345300937158,0.14552473932450466,0.0,0.2114754028949032,0.05566517523637321,1.0
0.2041113283146248,0.628022554566065,0.338293725028981,0.19795594204232383,0.0,1.0
